Time (s),Measured Speed (RPM),Set Point (Slider),PWM Value
0.0,0.0,0,0.0
0.1,0.0,0,0.0
0.2,0.0,0,0.0
0.30000000000000004,0.0,0,0.0
0.4,0.0,0,0.0
0.5,0.0,0,0.0
0.6,0.0,0,0.0
0.7,0.0,0,0.0
0.7999999999999999,0.0,0,0.0
0.8999999999999999,0.0,0,0.0
0.9999999999999999,0.0,0,0.0
1.0999999999999999,0.0,0,0.0
1.2,0.0,0,0.0
1.3,0.0,0,0.0
1.4000000000000001,0.0,0,0.0
1.5000000000000002,0.0,0,0.0
1.6000000000000003,0.0,0,0.0
1.7000000000000004,0.0,0,0.0
1.8000000000000005,0.0,70,11.104199066874028
1.9000000000000006,0.0,447,70.90824261275272
2.0000000000000004,9.999999999999998,685,108.66251944012441
2.1000000000000005,60.0,922,146.25816485225505
2.2000000000000006,145.0,1104,175.12908242612755
2.3000000000000007,257.5,1258,199.55832037325038
2.400000000000001,397.5,1258,199.55832037325038
2.500000000000001,545.0,1258,199.55832037325038
2.600000000000001,692.5,1258,199.55832037325038
2.700000000000001,835.0,1258,199.55832037325038
2.800000000000001,960.0,1258,199.55832037325038
2.9000000000000012,1085.0,1258,199.55832037325038
3.0000000000000013,1200.0,1258,199.55832037325038
3.1000000000000014,1275.0,1258,199.55832037325038
3.2000000000000015,1315.0,1258,199.55832037325038
3.3000000000000016,1320.0,1258,199.55832037325038
3.4000000000000017,1320.0,1258,199.55832037325038
3.5000000000000018,1290.0,1258,199.55832037325038
3.600000000000002,1267.5,1258,199.55832037325038
3.700000000000002,1250.0,1258,199.55832037325038
3.800000000000002,1272.5,1258,199.55832037325038
3.900000000000002,1287.5,1258,199.55832037325038
4.000000000000002,1307.5,1258,199.55832037325038
4.100000000000001,1307.5,1258,199.55832037325038
4.200000000000001,1322.5,1258,199.55832037325038
4.300000000000001,1345.0,1258,199.55832037325038
4.4,1330.0,1258,199.55832037325038
4.5,1337.5,1258,199.55832037325038
4.6,1357.5,1258,199.55832037325038
4.699999999999999,1375.0,1258,199.55832037325038
4.799999999999999,1352.5,1258,199.55832037325038
4.899999999999999,1342.5,1258,199.55832037325038
4.999999999999998,1335.0,1258,199.55832037325038
5.099999999999998,1355.0,1258,199.55832037325038
5.1999999999999975,1335.0,1258,199.55832037325038
5.299999999999997,1337.5,1258,199.55832037325038
5.399999999999997,1340.0,1258,199.55832037325038
5.4999999999999964,1367.5,1258,199.55832037325038
5.599999999999996,1395.0,1258,199.55832037325038
5.699999999999996,1395.0,1258,199.55832037325038
5.799999999999995,1389.9999999999998,1258,199.55832037325038
5.899999999999995,1392.5,1258,199.55832037325038
5.999999999999995,1402.5,1258,199.55832037325038
6.099999999999994,1405.0,1258,199.55832037325038
6.199999999999994,1417.5,1258,199.55832037325038
6.299999999999994,1430.0,1258,199.55832037325038
