Time (s);Measured Speed (RPM);Set Point (Slider);PWM Value
0.0;0.0;0;0.0
0.1;0.0;0;0.0
0.2;0.0;0;0.0
0.30000000000000004;0.0;0;0.0
0.4;0.0;0;0.0
0.5;0.0;0;0.0
0.6;0.0;0;0.0
0.7;0.0;0;0.0
0.7999999999999999;0.0;0;0.0
0.8999999999999999;0.0;0;0.0
0.9999999999999999;0.0;0;0.0
1.0999999999999999;0.0;0;0.0
1.2;0.0;0;0.0
1.3;0.0;1146;181.79160186625197
1.4000000000000001;129.99999999999997;1607;254.92068429237946
1.5000000000000002;272.5;1607;254.92068429237946
1.6000000000000003;417.5;1607;254.92068429237946
1.7000000000000004;562.5;1607;254.92068429237946
1.8000000000000005;702.5;1607;254.92068429237946
1.9000000000000006;842.5;1607;254.92068429237946
2.0000000000000004;987.5;1607;254.92068429237946
2.1000000000000005;1132.5;1607;254.92068429237946
2.2000000000000006;1302.5;1607;254.92068429237946
2.3000000000000007;1475.0;1607;254.92068429237946
2.400000000000001;1540.0;1607;254.92068429237946
2.500000000000001;1567.5;1607;254.92068429237946
2.600000000000001;1575.0;1607;254.92068429237946
2.700000000000001;1595.0;1607;254.92068429237946
2.800000000000001;1620.0;1607;254.92068429237946
2.9000000000000012;1620.0;1607;254.92068429237946
3.0000000000000013;1620.0;1607;254.92068429237946
3.1000000000000014;1622.5;1607;254.92068429237946
3.2000000000000015;1600.0;1607;254.92068429237946
3.3000000000000016;1597.5;1607;254.92068429237946
3.4000000000000017;1575.0;1607;254.92068429237946
3.5000000000000018;1550.0;1607;254.92068429237946
3.600000000000002;1570.0;1607;254.92068429237946
3.700000000000002;1570.0;1607;254.92068429237946
